"","Year","AverageTemperature"
"1",1821,11.50625
"2",1822,11.50225
"3",1823,10.9613333333333
"4",1824,11.96475
"5",1825,11.7348333333333
"6",1826,11.65225
"7",1827,12.2039166666667
"8",1828,11.42425
"9",1829,11.2581666666667
"10",1830,11.8141666666667
"11",1831,10.57475
"12",1832,10.6978333333333
"13",1833,11.1445833333333
"14",1834,11.52025
"15",1835,10.7925833333333
"16",1836,11.16675
"17",1837,10.9255833333333
"18",1838,10.7765833333333
"19",1839,10.6275833333333
"20",1840,11.29475
"21",1841,10.1493333333333
"22",1842,11.3104166666667
"23",1843,11.45275
"24",1844,11.5681666666667
"25",1845,11.4313333333333
"26",1846,11.94575
"27",1847,11.8781666666667
"28",1848,11.5565833333333
"29",1849,11.5309166666667
"30",1850,10.6825
"31",1851,10.4353333333333
"32",1852,10.6549166666667
"33",1853,10.9468333333333
"34",1854,11.5959166666667
"35",1855,11.81925
"36",1856,11.4185
"37",1857,11.295
"38",1858,11.6550833333333
"39",1859,11.7965
"40",1860,10.3965
"41",1861,10.8133333333333
"42",1862,10.6200833333333
"43",1863,11.80875
"44",1864,10.9725
"45",1865,11.2965
"46",1866,11.5645833333333
"47",1867,12.0066666666667
"48",1868,11.664
"49",1869,12.124
"50",1870,11.4188333333333
"51",1871,11.5460833333333
"52",1872,11.3856666666667
"53",1873,11.7568333333333
"54",1874,11.8175833333333
"55",1875,11.7785
"56",1876,12.2815833333333
"57",1877,11.2700833333333
"58",1878,11.381
"59",1879,11.53375
"60",1880,11.1414166666667
"61",1881,11.3595833333333
"62",1882,11.8398333333333
"63",1883,11.24575
"64",1884,10.8240833333333
"65",1885,11.0715
"66",1886,11.4059166666667
"67",1887,11.3335833333333
"68",1888,11.13075
"69",1889,11.0899166666667
"70",1890,11.9810833333333
"71",1891,12.00225
"72",1892,11.20675
"73",1893,10.9628333333333
"74",1894,12.13475
"75",1895,10.8618333333333
"76",1896,11.3439166666667
"77",1897,11.36825
"78",1898,12.48825
"79",1899,12.48325
"80",1900,12.00925
"81",1901,11.7139166666667
"82",1902,12.662
"83",1903,12.1216666666667
"84",1904,11.6899166666667
"85",1905,11.25075
"86",1906,11.32025
"87",1907,11.6005833333333
"88",1908,11.3158333333333
"89",1909,11.14675
"90",1910,11.0771666666667
"91",1911,10.9275
"92",1912,10.9549166666667
"93",1913,11.29425
"94",1914,12.07125
"95",1915,10.98325
"96",1916,11.1291666666667
"97",1917,10.9705
"98",1918,11.2088333333333
"99",1919,11.9113333333333
"100",1920,12.2761666666667
"101",1921,11.8528333333333
"102",1922,11.7771666666667
"103",1923,11.4801666666667
"104",1924,11.7360833333333
"105",1925,11.6334166666667
"106",1926,11.9468333333333
"107",1927,11.9976666666667
"108",1928,11.68525
"109",1929,11.9028333333333
"110",1930,12.0050833333333
"111",1931,11.454
"112",1932,11.9639166666667
"113",1933,11.2155833333333
"114",1934,11.4034166666667
"115",1935,12.37025
"116",1936,11.0836666666667
"117",1937,11.7938333333333
"118",1938,12.14025
"119",1939,12.3688333333333
"120",1940,12.2455833333333
"121",1941,12.3931666666667
"122",1942,12.40725
"123",1943,12.5625
"124",1944,11.9451666666667
"125",1945,12.3406666666667
"126",1946,12.5101666666667
"127",1947,10.8271666666667
"128",1948,12.5738333333333
"129",1949,12.3949166666667
"130",1950,11.9039166666667
"131",1951,12.02075
"132",1952,11.7143333333333
"133",1953,11.9553333333333
"134",1954,11.3350833333333
"135",1955,12.20875
"136",1956,10.8443333333333
"137",1957,11.16225
"138",1958,12.1001666666667
"139",1959,12.3925
"140",1960,12.2359166666667
"141",1961,12.9534166666667
"142",1962,12.2358333333333
"143",1963,12.3605
"144",1964,11.6323333333333
"145",1965,12.3588333333333
"146",1966,11.8658333333333
"147",1967,11.6856666666667
"148",1968,12.1276666666667
"149",1969,10.8563333333333
"150",1970,11.4685833333333
"151",1971,11.85925
"152",1972,11.9935
"153",1973,12.17475
"154",1974,11.7940833333333
"155",1975,12.99325
"156",1976,11.5906666666667
"157",1977,12.33725
"158",1978,12.42225
"159",1979,11.8920833333333
"160",1980,11.854
"161",1981,12.2165
"162",1982,12.744
"163",1983,12.8584166666667
"164",1984,11.7045833333333
"165",1985,11.4356666666667
"166",1986,12.02625
"167",1987,12.3495
"168",1988,12.5059166666667
"169",1989,13.0746666666667
"170",1990,12.7169166666667
"171",1991,12.3633333333333
"172",1992,12.4765833333333
"173",1993,12.46725
"174",1994,13.2931666666667
"175",1995,12.8066666666667
"176",1996,12.305
"177",1997,13.06375
"178",1998,13.5456666666667
"179",1999,13.3973333333333
"180",2000,12.88125
"181",2001,13.0610833333333
"182",2002,13.3880833333333
"183",2003,12.8358333333333
"184",2004,13.2881666666667
"185",2005,12.8938333333333
"186",2006,13.2505833333333
"187",2007,13.6968333333333
"188",2008,13.124
"189",2009,12.96775
"190",2010,12.2495
"191",2011,12.77025
"192",2012,12.2928333333333
